t-12,t,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1
1670.0,774.0,-86.0,2251.0,3432.0,8077.0,-3437.8200000000065,195.91999999999825,-7092.550000000002,-13572.580000000002,-6111.0,-4171.0,-5659.0
-86.0,2064.0,2251.0,3432.0,8077.0,-3437.8200000000065,195.91999999999825,-7092.550000000002,-13572.580000000002,-6111.0,-4171.0,-5659.0,774.0
2251.0,1527.0,3432.0,8077.0,-3437.8200000000065,195.91999999999825,-7092.550000000002,-13572.580000000002,-6111.0,-4171.0,-5659.0,774.0,2064.0
3432.0,11307.0,8077.0,-3437.8200000000065,195.91999999999825,-7092.550000000002,-13572.580000000002,-6111.0,-4171.0,-5659.0,774.0,2064.0,1527.0
8077.0,3648.0,-3437.8200000000065,195.91999999999825,-7092.550000000002,-13572.580000000002,-6111.0,-4171.0,-5659.0,774.0,2064.0,1527.0,11307.0
-3437.8200000000065,4240.820000000007,195.91999999999825,-7092.550000000002,-13572.580000000002,-6111.0,-4171.0,-5659.0,774.0,2064.0,1527.0,11307.0,3648.0
195.91999999999825,5433.080000000002,-7092.550000000002,-13572.580000000002,-6111.0,-4171.0,-5659.0,774.0,2064.0,1527.0,11307.0,3648.0,4240.820000000007
-7092.550000000002,8268.550000000003,-13572.580000000002,-6111.0,-4171.0,-5659.0,774.0,2064.0,1527.0,11307.0,3648.0,4240.820000000007,5433.080000000002
-13572.580000000002,10788.580000000002,-6111.0,-4171.0,-5659.0,774.0,2064.0,1527.0,11307.0,3648.0,4240.820000000007,5433.080000000002,8268.550000000003
-6111.0,15043.0,-4171.0,-5659.0,774.0,2064.0,1527.0,11307.0,3648.0,4240.820000000007,5433.080000000002,8268.550000000003,10788.580000000002
-4171.0,12648.0,-5659.0,774.0,2064.0,1527.0,11307.0,3648.0,4240.820000000007,5433.080000000002,8268.550000000003,10788.580000000002,15043.0
-5659.0,4987.0,774.0,2064.0,1527.0,11307.0,3648.0,4240.820000000007,5433.080000000002,8268.550000000003,10788.580000000002,15043.0,12648.0
774.0,2796.0,2064.0,1527.0,11307.0,3648.0,4240.820000000007,5433.080000000002,8268.550000000003,10788.580000000002,15043.0,12648.0,4987.0
2064.0,-374.0,1527.0,11307.0,3648.0,4240.820000000007,5433.080000000002,8268.550000000003,10788.580000000002,15043.0,12648.0,4987.0,2796.0
1527.0,-2339.0,11307.0,3648.0,4240.820000000007,5433.080000000002,8268.550000000003,10788.580000000002,15043.0,12648.0,4987.0,2796.0,-374.0
11307.0,-3018.0,3648.0,4240.820000000007,5433.080000000002,8268.550000000003,10788.580000000002,15043.0,12648.0,4987.0,2796.0,-374.0,-2339.0
3648.0,-601.0,4240.820000000007,5433.080000000002,8268.550000000003,10788.580000000002,15043.0,12648.0,4987.0,2796.0,-374.0,-2339.0,-3018.0
4240.820000000007,128.0,5433.080000000002,8268.550000000003,10788.580000000002,15043.0,12648.0,4987.0,2796.0,-374.0,-2339.0,-3018.0,-601.0
5433.080000000002,-40.0,8268.550000000003,10788.580000000002,15043.0,12648.0,4987.0,2796.0,-374.0,-2339.0,-3018.0,-601.0,128.0
8268.550000000003,-2420.0,10788.580000000002,15043.0,12648.0,4987.0,2796.0,-374.0,-2339.0,-3018.0,-601.0,128.0,-40.0
10788.580000000002,-489.0,15043.0,12648.0,4987.0,2796.0,-374.0,-2339.0,-3018.0,-601.0,128.0,-40.0,-2420.0
15043.0,3601.0,12648.0,4987.0,2796.0,-374.0,-2339.0,-3018.0,-601.0,128.0,-40.0,-2420.0,-489.0
12648.0,-1811.0,4987.0,2796.0,-374.0,-2339.0,-3018.0,-601.0,128.0,-40.0,-2420.0,-489.0,3601.0
4987.0,-1616.0,2796.0,-374.0,-2339.0,-3018.0,-601.0,128.0,-40.0,-2420.0,-489.0,3601.0,-1811.0
2796.0,-1029.0,-374.0,-2339.0,-3018.0,-601.0,128.0,-40.0,-2420.0,-489.0,3601.0,-1811.0,-1616.0
-374.0,6813.0,-2339.0,-3018.0,-601.0,128.0,-40.0,-2420.0,-489.0,3601.0,-1811.0,-1616.0,-1029.0
-2339.0,1823.0,-3018.0,-601.0,128.0,-40.0,-2420.0,-489.0,3601.0,-1811.0,-1616.0,-1029.0,6813.0
-3018.0,-1496.0,-601.0,128.0,-40.0,-2420.0,-489.0,3601.0,-1811.0,-1616.0,-1029.0,6813.0,1823.0
-601.0,-3623.0,128.0,-40.0,-2420.0,-489.0,3601.0,-1811.0,-1616.0,-1029.0,6813.0,1823.0,-1496.0
128.0,3865.0,-40.0,-2420.0,-489.0,3601.0,-1811.0,-1616.0,-1029.0,6813.0,1823.0,-1496.0,-3623.0
-40.0,-772.0,-2420.0,-489.0,3601.0,-1811.0,-1616.0,-1029.0,6813.0,1823.0,-1496.0,-3623.0,3865.0
-2420.0,820.0,-489.0,3601.0,-1811.0,-1616.0,-1029.0,6813.0,1823.0,-1496.0,-3623.0,3865.0,-772.0
-489.0,2144.0,3601.0,-1811.0,-1616.0,-1029.0,6813.0,1823.0,-1496.0,-3623.0,3865.0,-772.0,820.0
3601.0,-3952.0,-1811.0,-1616.0,-1029.0,6813.0,1823.0,-1496.0,-3623.0,3865.0,-772.0,820.0,2144.0
-1811.0,-945.0,-1616.0,-1029.0,6813.0,1823.0,-1496.0,-3623.0,3865.0,-772.0,820.0,2144.0,-3952.0
-1616.0,8440.0,-1029.0,6813.0,1823.0,-1496.0,-3623.0,3865.0,-772.0,820.0,2144.0,-3952.0,-945.0
-1029.0,11.0,6813.0,1823.0,-1496.0,-3623.0,3865.0,-772.0,820.0,2144.0,-3952.0,-945.0,8440.0
6813.0,-4434.0,1823.0,-1496.0,-3623.0,3865.0,-772.0,820.0,2144.0,-3952.0,-945.0,8440.0,11.0
1823.0,11165.0,-1496.0,-3623.0,3865.0,-772.0,820.0,2144.0,-3952.0,-945.0,8440.0,11.0,-4434.0
-1496.0,12285.0,-3623.0,3865.0,-772.0,820.0,2144.0,-3952.0,-945.0,8440.0,11.0,-4434.0,11165.0
-3623.0,10684.0,3865.0,-772.0,820.0,2144.0,-3952.0,-945.0,8440.0,11.0,-4434.0,11165.0,12285.0
3865.0,2578.0,-772.0,820.0,2144.0,-3952.0,-945.0,8440.0,11.0,-4434.0,11165.0,12285.0,10684.0
-772.0,1469.0,820.0,2144.0,-3952.0,-945.0,8440.0,11.0,-4434.0,11165.0,12285.0,10684.0,2578.0
820.0,2503.0,2144.0,-3952.0,-945.0,8440.0,11.0,-4434.0,11165.0,12285.0,10684.0,2578.0,1469.0
2144.0,5201.0,-3952.0,-945.0,8440.0,11.0,-4434.0,11165.0,12285.0,10684.0,2578.0,1469.0,2503.0
-3952.0,-9065.0,-945.0,8440.0,11.0,-4434.0,11165.0,12285.0,10684.0,2578.0,1469.0,2503.0,5201.0
-945.0,853.0,8440.0,11.0,-4434.0,11165.0,12285.0,10684.0,2578.0,1469.0,2503.0,5201.0,-9065.0
8440.0,-4047.0,11.0,-4434.0,11165.0,12285.0,10684.0,2578.0,1469.0,2503.0,5201.0,-9065.0,853.0
11.0,-1541.0,-4434.0,11165.0,12285.0,10684.0,2578.0,1469.0,2503.0,5201.0,-9065.0,853.0,-4047.0
-4434.0,1550.0,11165.0,12285.0,10684.0,2578.0,1469.0,2503.0,5201.0,-9065.0,853.0,-4047.0,-1541.0
11165.0,-7033.0,12285.0,10684.0,2578.0,1469.0,2503.0,5201.0,-9065.0,853.0,-4047.0,-1541.0,1550.0
12285.0,1660.0,10684.0,2578.0,1469.0,2503.0,5201.0,-9065.0,853.0,-4047.0,-1541.0,1550.0,-7033.0
10684.0,-4187.0,2578.0,1469.0,2503.0,5201.0,-9065.0,853.0,-4047.0,-1541.0,1550.0,-7033.0,1660.0
2578.0,-6205.0,1469.0,2503.0,5201.0,-9065.0,853.0,-4047.0,-1541.0,1550.0,-7033.0,1660.0,-4187.0
1469.0,1799.0,2503.0,5201.0,-9065.0,853.0,-4047.0,-1541.0,1550.0,-7033.0,1660.0,-4187.0,-6205.0
2503.0,-617.0,5201.0,-9065.0,853.0,-4047.0,-1541.0,1550.0,-7033.0,1660.0,-4187.0,-6205.0,1799.0
5201.0,-10652.0,-9065.0,853.0,-4047.0,-1541.0,1550.0,-7033.0,1660.0,-4187.0,-6205.0,1799.0,-617.0
-9065.0,2440.0,853.0,-4047.0,-1541.0,1550.0,-7033.0,1660.0,-4187.0,-6205.0,1799.0,-617.0,-10652.0
853.0,9439.0,-4047.0,-1541.0,1550.0,-7033.0,1660.0,-4187.0,-6205.0,1799.0,-617.0,-10652.0,2440.0
-4047.0,2236.0,-1541.0,1550.0,-7033.0,1660.0,-4187.0,-6205.0,1799.0,-617.0,-10652.0,2440.0,9439.0
-1541.0,7080.0,1550.0,-7033.0,1660.0,-4187.0,-6205.0,1799.0,-617.0,-10652.0,2440.0,9439.0,2236.0
1550.0,533.0,-7033.0,1660.0,-4187.0,-6205.0,1799.0,-617.0,-10652.0,2440.0,9439.0,2236.0,7080.0
-7033.0,1434.0,1660.0,-4187.0,-6205.0,1799.0,-617.0,-10652.0,2440.0,9439.0,2236.0,7080.0,533.0
1660.0,-10555.0,-4187.0,-6205.0,1799.0,-617.0,-10652.0,2440.0,9439.0,2236.0,7080.0,533.0,1434.0
-4187.0,671.0,-6205.0,1799.0,-617.0,-10652.0,2440.0,9439.0,2236.0,7080.0,533.0,1434.0,-10555.0
-6205.0,4698.0,1799.0,-617.0,-10652.0,2440.0,9439.0,2236.0,7080.0,533.0,1434.0,-10555.0,671.0
1799.0,-2735.0,-617.0,-10652.0,2440.0,9439.0,2236.0,7080.0,533.0,1434.0,-10555.0,671.0,4698.0
-617.0,2281.0,-10652.0,2440.0,9439.0,2236.0,7080.0,533.0,1434.0,-10555.0,671.0,4698.0,-2735.0
-10652.0,6556.0,2440.0,9439.0,2236.0,7080.0,533.0,1434.0,-10555.0,671.0,4698.0,-2735.0,2281.0
2440.0,1891.0,9439.0,2236.0,7080.0,533.0,1434.0,-10555.0,671.0,4698.0,-2735.0,2281.0,6556.0
9439.0,-7459.0,2236.0,7080.0,533.0,1434.0,-10555.0,671.0,4698.0,-2735.0,2281.0,6556.0,1891.0
2236.0,-612.0,7080.0,533.0,1434.0,-10555.0,671.0,4698.0,-2735.0,2281.0,6556.0,1891.0,-7459.0
7080.0,-5895.0,533.0,1434.0,-10555.0,671.0,4698.0,-2735.0,2281.0,6556.0,1891.0,-7459.0,-612.0
533.0,-771.0,1434.0,-10555.0,671.0,4698.0,-2735.0,2281.0,6556.0,1891.0,-7459.0,-612.0,-5895.0
1434.0,553.0,-10555.0,671.0,4698.0,-2735.0,2281.0,6556.0,1891.0,-7459.0,-612.0,-5895.0,-771.0
-10555.0,3683.0,671.0,4698.0,-2735.0,2281.0,6556.0,1891.0,-7459.0,-612.0,-5895.0,-771.0,553.0
671.0,-10162.0,4698.0,-2735.0,2281.0,6556.0,1891.0,-7459.0,-612.0,-5895.0,-771.0,553.0,3683.0
4698.0,-2361.0,-2735.0,2281.0,6556.0,1891.0,-7459.0,-612.0,-5895.0,-771.0,553.0,3683.0,-10162.0
-2735.0,101.0,2281.0,6556.0,1891.0,-7459.0,-612.0,-5895.0,-771.0,553.0,3683.0,-10162.0,-2361.0
2281.0,-1536.0,6556.0,1891.0,-7459.0,-612.0,-5895.0,-771.0,553.0,3683.0,-10162.0,-2361.0,101.0
6556.0,-1541.0,1891.0,-7459.0,-612.0,-5895.0,-771.0,553.0,3683.0,-10162.0,-2361.0,101.0,-1536.0
1891.0,7258.0,-7459.0,-612.0,-5895.0,-771.0,553.0,3683.0,-10162.0,-2361.0,101.0,-1536.0,-1541.0
-7459.0,-3984.0,-612.0,-5895.0,-771.0,553.0,3683.0,-10162.0,-2361.0,101.0,-1536.0,-1541.0,7258.0
-612.0,-6077.0,-5895.0,-771.0,553.0,3683.0,-10162.0,-2361.0,101.0,-1536.0,-1541.0,7258.0,-3984.0
-5895.0,-1432.0,-771.0,553.0,3683.0,-10162.0,-2361.0,101.0,-1536.0,-1541.0,7258.0,-3984.0,-6077.0
-771.0,-4911.0,553.0,3683.0,-10162.0,-2361.0,101.0,-1536.0,-1541.0,7258.0,-3984.0,-6077.0,-1432.0
553.0,-9815.0,3683.0,-10162.0,-2361.0,101.0,-1536.0,-1541.0,7258.0,-3984.0,-6077.0,-1432.0,-4911.0
3683.0,-12249.0,-10162.0,-2361.0,101.0,-1536.0,-1541.0,7258.0,-3984.0,-6077.0,-1432.0,-4911.0,-9815.0
-10162.0,4350.0,-2361.0,101.0,-1536.0,-1541.0,7258.0,-3984.0,-6077.0,-1432.0,-4911.0,-9815.0,-12249.0
-2361.0,-4673.0,101.0,-1536.0,-1541.0,7258.0,-3984.0,-6077.0,-1432.0,-4911.0,-9815.0,-12249.0,4350.0
101.0,-2771.0,-1536.0,-1541.0,7258.0,-3984.0,-6077.0,-1432.0,-4911.0,-9815.0,-12249.0,4350.0,-4673.0
-1536.0,-7660.0,-1541.0,7258.0,-3984.0,-6077.0,-1432.0,-4911.0,-9815.0,-12249.0,4350.0,-4673.0,-2771.0
-1541.0,-683.0,7258.0,-3984.0,-6077.0,-1432.0,-4911.0,-9815.0,-12249.0,4350.0,-4673.0,-2771.0,-7660.0
7258.0,-6969.0,-3984.0,-6077.0,-1432.0,-4911.0,-9815.0,-12249.0,4350.0,-4673.0,-2771.0,-7660.0,-683.0
-3984.0,509.0,-6077.0,-1432.0,-4911.0,-9815.0,-12249.0,4350.0,-4673.0,-2771.0,-7660.0,-683.0,-6969.0
-6077.0,-5160.0,-1432.0,-4911.0,-9815.0,-12249.0,4350.0,-4673.0,-2771.0,-7660.0,-683.0,-6969.0,509.0
-1432.0,-4992.0,-4911.0,-9815.0,-12249.0,4350.0,-4673.0,-2771.0,-7660.0,-683.0,-6969.0,509.0,-5160.0
-4911.0,4221.0,-9815.0,-12249.0,4350.0,-4673.0,-2771.0,-7660.0,-683.0,-6969.0,509.0,-5160.0,-4992.0
-9815.0,9416.0,-12249.0,4350.0,-4673.0,-2771.0,-7660.0,-683.0,-6969.0,509.0,-5160.0,-4992.0,4221.0
-12249.0,16022.0,4350.0,-4673.0,-2771.0,-7660.0,-683.0,-6969.0,509.0,-5160.0,-4992.0,4221.0,9416.0
4350.0,1202.0,-4673.0,-2771.0,-7660.0,-683.0,-6969.0,509.0,-5160.0,-4992.0,4221.0,9416.0,16022.0
-4673.0,2528.0,-2771.0,-7660.0,-683.0,-6969.0,509.0,-5160.0,-4992.0,4221.0,9416.0,16022.0,1202.0
-2771.0,-1999.0,-7660.0,-683.0,-6969.0,509.0,-5160.0,-4992.0,4221.0,9416.0,16022.0,1202.0,2528.0
-7660.0,5495.0,-683.0,-6969.0,509.0,-5160.0,-4992.0,4221.0,9416.0,16022.0,1202.0,2528.0,-1999.0
-683.0,5926.0,-6969.0,509.0,-5160.0,-4992.0,4221.0,9416.0,16022.0,1202.0,2528.0,-1999.0,5495.0
-6969.0,3416.675000000003,509.0,-5160.0,-4992.0,4221.0,9416.0,16022.0,1202.0,2528.0,-1999.0,5495.0,5926.0
509.0,2601.4719999999943,-5160.0,-4992.0,4221.0,9416.0,16022.0,1202.0,2528.0,-1999.0,5495.0,5926.0,3416.675000000003
-5160.0,11412.664000000004,-4992.0,4221.0,9416.0,16022.0,1202.0,2528.0,-1999.0,5495.0,5926.0,3416.675000000003,2601.4719999999943
-4992.0,8509.75,4221.0,9416.0,16022.0,1202.0,2528.0,-1999.0,5495.0,5926.0,3416.675000000003,2601.4719999999943,11412.664000000004
4221.0,791.4089999999997,9416.0,16022.0,1202.0,2528.0,-1999.0,5495.0,5926.0,3416.675000000003,2601.4719999999943,11412.664000000004,8509.75
9416.0,-2128.8870000000024,16022.0,1202.0,2528.0,-1999.0,5495.0,5926.0,3416.675000000003,2601.4719999999943,11412.664000000004,8509.75,791.4089999999997
